Tokenizer,Perplexity,Fertility,Compression
BPE,106.56290394052354,0.9612013220290272,1.040364777993721
GPE,106.56290394052354,0.6526081333524931,1.5323131124077949
GPE_sandhi,106.56290394052354,0.2620347751113666,3.81628735947354
Baseline,106.56290394052354,,
