Regime+Tokenizer,Perplexity,Fertility,Compression
A_BPE,104.86964200396066,0.9640805592082498,1.0372577171572146
A_GPE,104.86964200396066,0.6533324105474427,1.530614406779661
A_GPE_sandhi,104.86964200396066,0.267492560038757,3.7384217335058216
A_Baseline,104.86964200396066,,
B_vocab_aug,526.2630096096995,,
C_retrain,368.3841067267896,,
